building_name,building_address,building_stationText,building_AFText,room_floor,room_layout,room_url
プチメゾンさくら,東京都文京区大塚6丁目32-13,東京メトロ有楽町線 東池袋駅 徒歩6分;東京メトロ丸ノ内線 新大塚駅 徒歩9分,2年 / 3階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/dc1b518080d182740f0f0352de7c73a931cfcf81/
東京メトロ丸ノ内線 茗荷谷駅 徒歩5分,東京都文京区小日向3丁目9-6,東京メトロ丸ノ内線 茗荷谷駅 徒歩5分;東京メトロ有楽町線 江戸川橋駅 徒歩12分,3年 / 5階建,4階,ワンルーム,https://www.homes.co.jp/chintai/room/bdd7c9603f1a180a767f69f0a90c38db5e166578/
ブライトユー,東京都文京区本駒込5丁目,JR山手線 駒込駅 徒歩6分;JR山手線 田端駅 徒歩13分,5年 / 4階建,1階,ワンルーム,https://www.homes.co.jp/chintai/room/c0bb3d88970a3bd84bb4d39a89f40413b4f758e6/
東京メトロ丸ノ内線 茗荷谷駅 徒歩7分,東京都文京区大塚3丁目,東京メトロ丸ノ内線 茗荷谷駅 徒歩7分;東京メトロ有楽町線 護国寺駅 徒歩10分;東京都三田線 白山 徒歩14分,2年 / 9階建,8階,1DK,https://www.homes.co.jp/chintai/room/ba996412212d4083fe068eed7b9dc7eecd770e90/
ＴＨＥＡＴＥＲ　ＣＯＵＲＴ本駒込,東京都文京区本駒込3丁目29,東京メトロ南北線 本駒込駅 徒歩6分;東京メトロ南北線 駒込駅 徒歩10分,新築 / 13階建,10階,1LDK,https://www.homes.co.jp/chintai/room/e6ce97911c3b80c12a0ed19f11562307ca14f932/
ＴＨＥＡＴＥＲ　ＣＯＵＲＴ本駒込,東京都文京区本駒込3丁目29,東京メトロ南北線 本駒込駅 徒歩6分;東京メトロ南北線 駒込駅 徒歩10分,新築 / 13階建,10階,1K,https://www.homes.co.jp/chintai/room/171c56b14b711749f9f64acef5a6cbe34dfe852d/
ＴＨＥＡＴＥＲ　ＣＯＵＲＴ本駒込,東京都文京区本駒込3丁目29,東京メトロ南北線 本駒込駅 徒歩6分;東京メトロ南北線 駒込駅 徒歩10分,新築 / 13階建,3階,1K,https://www.homes.co.jp/chintai/room/aacab2cc81ca8fbbf37169de91bed535a442f686/
シャルマンメゾン千石,東京都文京区本駒込2丁目13-2,都営三田線 千石駅 徒歩4分;東京メトロ南北線 本駒込駅 徒歩9分;東京都三田線 白山 徒歩11分,5年 / 3階建,1階,1K,https://www.homes.co.jp/chintai/room/fd7f342c95133e50b1b180e2103d70a68eac7227/
仮称　フィカーサ大塚,東京都文京区大塚4丁目41,東京メトロ丸ノ内線 新大塚駅 徒歩7分;東京メトロ有楽町線 護国寺駅 徒歩10分,新築 / 2階建,1階,1DK,https://www.homes.co.jp/chintai/room/c91cff3592dc7f1e350d6ed6941cfd4bfcd818b2/
東京メトロ有楽町線 東池袋駅 徒歩6分,東京都文京区大塚6丁目32-13,東京メトロ有楽町線 東池袋駅 徒歩6分;東京メトロ丸ノ内線 新大塚駅 徒歩9分,2年 / 3階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/df46cd0416fbdf18496c3275b12ec3e54e25886c/
東京メトロ有楽町線 東池袋駅 徒歩6分,東京都文京区大塚6丁目32-13,東京メトロ有楽町線 東池袋駅 徒歩6分;東京メトロ丸ノ内線 新大塚駅 徒歩9分,2年 / 3階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/05b98a870085bbf1ab4fa182b6ee1f7dfc41fbf1/
東京メトロ有楽町線 江戸川橋駅 徒歩4分,東京都文京区水道2丁目5-13,東京メトロ有楽町線 江戸川橋駅 徒歩4分;東京メトロ東西線 神楽坂駅 徒歩10分;東京メトロ丸ノ内線 茗荷谷駅 徒歩15分,6年 / 5階建,3階,ワンルーム,https://www.homes.co.jp/chintai/room/08bebabc4e8159261d4ab878dad0f3d9df574d51/
東京メトロ有楽町線 江戸川橋駅 徒歩4分,東京都文京区水道2丁目5-13,東京メトロ有楽町線 江戸川橋駅 徒歩4分;東京メトロ東西線 神楽坂駅 徒歩10分;東京メトロ丸ノ内線 茗荷谷駅 徒歩15分,6年 / 5階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/802bb2a7eb2af8a6213a397f0f6ec0915faecd0a/
都営三田線 千石駅 徒歩4分,東京都文京区本駒込2丁目13-2,都営三田線 千石駅 徒歩4分;東京メトロ南北線 本駒込駅 徒歩9分;東京都三田線 白山 徒歩11分,5年 / 3階建,1階,1K,https://www.homes.co.jp/chintai/room/ad096a398b36c3ac1381ebe71891db7ce12dc980/
JR山手線 駒込駅 徒歩6分,東京都文京区本駒込5丁目,JR山手線 駒込駅 徒歩6分;JR山手線 田端駅 徒歩13分,5年 / 4階建,1階,ワンルーム,https://www.homes.co.jp/chintai/room/40ffca4752b9a36ed6b5ea1968ca2d23bd6e5033/
アーバンハイム　スズキ,東京都文京区千石1丁目4-25,都営三田線 千石駅 徒歩5分;都営三田線 白山駅 徒歩14分;山手線 巣鴨 徒歩16分,4年 / 3階建,1階,1DK,https://www.homes.co.jp/chintai/room/980d58a61444a67e7413a16cd8a6fe084c03e64b/
都営大江戸線 本郷三丁目駅 徒歩3分,東京都文京区本郷5丁目23-14,都営大江戸線 本郷三丁目駅 徒歩3分;都営三田線 春日駅 徒歩11分,新築 / 12階建,4階,ワンルーム,https://www.homes.co.jp/chintai/room/10894e399be7b0f6390a8288fa75e9bf502efc1a/
ジョーウェル大和郷,東京都文京区本駒込6丁目12-16,都営三田線 千石駅 徒歩5分;JR山手線 駒込駅 徒歩10分;JR山手線 巣鴨駅 徒歩12分,2年 / 8階建,4階,ワンルーム,https://www.homes.co.jp/chintai/room/2e1dcef84d97f0033b44975c84d53867651755c6/
コンシェリア目白台 ＨＩＬＬＳＩＤＥ ＳＱＵＡＲＥ,東京都文京区関口3丁目7番2,東京メトロ有楽町線 江戸川橋駅 徒歩7分;東京メトロ有楽町線 護国寺駅 徒歩9分;都電荒川線 早稲田駅 徒歩15分,6年 / 9階建,7階,1LDK,https://www.homes.co.jp/chintai/room/b0ccd97f902f6890231dfbb73e99859a914a6b69/
コンシェリア目白台 ＨＩＬＬＳＩＤＥ ＳＱＵＡＲＥ,東京都文京区関口3丁目7番2,東京メトロ有楽町線 江戸川橋駅 徒歩7分;東京メトロ有楽町線 護国寺駅 徒歩9分;都電荒川線 早稲田駅 徒歩15分,6年 / 9階建,6階,1K,https://www.homes.co.jp/chintai/room/7b08f249258fa7e5e041387c139029e0cce58bdb/
都営三田線 千石駅 徒歩5分,東京都文京区千石1丁目4-25,都営三田線 千石駅 徒歩5分;都営三田線 白山駅 徒歩14分;山手線 巣鴨 徒歩16分,4年 / 3階建,1階,1DK,https://www.homes.co.jp/chintai/room/7bffc727634711d7ade328b9506b491cbe8a372d/
ルネサンスコート文京江戸川橋,東京都文京区水道2丁目,東京メトロ有楽町線 江戸川橋駅 徒歩4分;東京メトロ東西線 神楽坂駅 徒歩9分;東京メトロ丸ノ内線 茗荷谷駅 徒歩15分,6年 / 5階建,3階,ワンルーム,https://www.homes.co.jp/chintai/room/cd384f02798c94523f4edd6c585cf11458823d20/
ルネサンスコート文京江戸川橋,東京都文京区水道2丁目,東京メトロ有楽町線 江戸川橋駅 徒歩4分;東京メトロ東西線 神楽坂駅 徒歩9分;東京メトロ丸ノ内線 茗荷谷駅 徒歩15分,6年 / 5階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/58fb0da2820d192bf1c9e513752a8c534781d6c4/
クレストハウス小石川,東京都文京区小石川3丁目16-13,都営三田線 春日駅 徒歩8分;東京メトロ丸ノ内線 後楽園駅 徒歩9分;東京メトロ丸ノ内線 茗荷谷駅 徒歩17分,6年 / 4階建,4階,1LDK,https://www.homes.co.jp/chintai/room/8799155194c0ff8439f39151d8db8b7b9c1452e3/
クレストハウス小石川,東京都文京区小石川3丁目16-13,都営三田線 春日駅 徒歩8分;東京メトロ丸ノ内線 後楽園駅 徒歩9分;東京メトロ丸ノ内線 茗荷谷駅 徒歩17分,6年 / 4階建,3階,1K,https://www.homes.co.jp/chintai/room/7e3f0b211c88d84fff7167c99c31481f98d5b592/
クレストハウス小石川,東京都文京区小石川3丁目16-13,都営三田線 春日駅 徒歩8分;東京メトロ丸ノ内線 後楽園駅 徒歩9分;東京メトロ丸ノ内線 茗荷谷駅 徒歩17分,6年 / 4階建,1階,1K,https://www.homes.co.jp/chintai/room/1baca3ed9c8766af769b7d6cdb5295e21752ba31/
